,sigma,y,z
0,225272159.79904217,0.0,0.0865
1,217329131.81631723,0.0013724058717108857,0.08648911204379019
2,209331392.38687932,0.0027444662475828514,0.0864564509161455
3,201280954.89886004,0.0041158357187537084,0.08640202483933018
4,193179846.0068452,0.00548616905029283,0.08632584751481799
5,185030105.12167573,0.006855121268112201,0.08622793811984301
6,176833783.89703658,0.0082223477458118,0.08610832130257182
7,168592945.71296418,0.009587504291437452,0.08596702717589848
8,160309665.15640157,0.010950247234129311,0.08580409130986379
9,151986027.49893183,0.012310233510639163,0.08561955472270068
10,143624128.17182255,0.013667120751694765,0.0854134638705081
11,135226072.23851195,0.015020567368189472,0.085185870635556
12,126793973.86467049,0.01637023263717548,0.08493683231322412
13,118329955.78597118,0.01771577678763899,0.08466641159757836
14,109836148.77370168,0.019056861086035763,0.0843746765655877
15,101314691.09835476,0.020393147921565453,0.08406170065998635
16,92767727.99132943,0.02172430089116335,0.08372756267078481
17,84197411.10488091,0.023049984884188024,0.08337234671543498
18,75605897.97045344,0.024369866166783664,0.08299614221765401
19,66995351.455533385,0.025683612465895775,0.08259904388491239
20,58367939.21915883,0.026990893052919133,0.08218115168459178
21,49725833.1662229,0.028291378826956967,0.08174257081881882
22,41071208.900708795,0.029584742397670342,0.08128341169798108
23,32406245.177992433,0.03087065816769691,0.08080378991293173
24,23733123.356352985,0.03214880241461833,0.08030382620589027
25,15054026.847827405,0.03341885337245563,0.07978364644004628
26,6371140.568548113,0.03468049131267208,0.07924338156787401
27,-2313349.6112980545,0.035933398624663174,0.07868316759816583
28,-10997257.417750776,0.03717725989571334,0.07810314556179272
29,-19678396.723459184,0.03841176199039946,0.07750346147620055
30,-28354582.098027617,0.039636594129421,0.07688426630865088
31,-37023629.358186066,0.04085144796783705,0.07624571593821584
32,-45683356.11764681,0.04205601767269054,0.0755879711165364
33,-54331582.336508036,0.04325,0.07491119742735393
34,-62966130.870067686,0.04443309437109964,0.0742155652448255
35,-71584828.01690805,0.04560500294830846,0.07350124969063299
36,-80185504.06611282,0.046765430709909184,0.07276843058989717
37,-88765993.8434811,0.04791408552441853,0.07201729242590771
38,-97324137.25659755,0.04905067822412967,0.07124802429368053
39,-105857779.83862484,0.050174922677908636,0.07046081985235403
40,-114364773.29067868,0.051286535863226394,0.06965587727643657
41,-122842976.02265096,0.052385237937408166,0.06883339920591697
42,-131290253.69234288,0.05347075230808234,0.06799359269525111
43,-139704479.74277532,0.05454280570281119,0.06713666916123696
44,-148083535.93753707,0.05560112823788564,0.0662628443297916
45,-156425312.8940404,0.05664545348626716,0.06537233818164334
46,-164727710.61454618,0.05767551854465922,0.06446537489695277
47,-172988639.01482728,0.05869106409969193,0.06354218279887662
48,-181206018.4503364,0.059691834493202686,0.06260299429608857
49,-189377780.23974514,0.060677577786596784,0.061648045824271636
50,-197501867.1857236,0.061648045824271636,0.060677577786596784
51,-205576234.0928286,0.06260299429608857,0.059691834493202686
52,-213598848.28237116,0.06354218279887662,0.05869106409969193
53,-221567690.10413176,0.06446537489695277,0.05767551854465922
54,-229480753.44479752,0.06537233818164334,0.05664545348626715
55,-237336046.23298904,0.0662628443297916,0.05560112823788565
56,-245131590.9407554,0.06713666916123696,0.05454280570281119
57,-252865425.08140478,0.06799359269525111,0.053470752308082355
58,-260535601.7035511,0.06883339920591697,0.05238523793740816
59,-268140189.8812478,0.06965587727643656,0.0512865358632264
60,-275677275.2000887,0.07046081985235403,0.050174922677908636
61,-283144960.2391511,0.07124802429368053,0.04905067822412967
62,-290541365.04866177,0.07201729242590772,0.04791408552441853
63,-297864627.62326396,0.07276843058989715,0.0467654307099092
64,-305112904.3707677,0.07350124969063299,0.04560500294830845
65,-312284370.57626367,0.0742155652448255,0.04443309437109965
66,-319377220.86148584,0.07491119742735394,0.04324999999999999
67,-326389669.6393057,0.0755879711165364,0.042056017672690536
68,-333319951.56324416,0.07624571593821584,0.04085144796783705
69,-340166321.9718883,0.07688426630865088,0.039636594129421
70,-346927057.3281007,0.07750346147620055,0.03841176199039945
71,-353600455.6529098,0.07810314556179274,0.03717725989571334
