,sigma,y,z,shearstress,V.Mises
0,225270854.13771,0.0,0.0865,290489348.41834,551270480.2158997
1,233157223.8910022,0.0013724058717108857,0.08648911204379019,290867987.10486054,555134982.5221419
2,240984897.56004634,0.0027444662475828514,0.0864564509161455,291231087.5939879,559035204.611979
3,248751904.56985682,0.0041158357187537084,0.08640202483933018,291578564.1486204,562966861.5824955
4,256456289.61795485,0.00548616905029283,0.08632584751481799,291910334.9648986,566925708.9448019
5,264096113.16660568,0.006855121268112201,0.08622793811984301,292226322.1927983,570907546.9256787
6,271669451.9310869,0.0082223477458118,0.08610832130257182,292526451.95572954,574908224.32277
7,279174399.36386466,0.009587504291437452,0.08596702717589848,292810654.36913437,578923641.9394329
8,286609066.13455755,0.010950247234129311,0.08580409130986379,293078863.5580797,582949755.625654
9,293971580.6055647,0.012310233510639163,0.08561955472270068,293331017.6738414,586982578.9514102
10,301260089.303241,0.013667120751694765,0.0854134638705081,293567058.90947413,591018185.5385439
11,308472757.38449883,0.015020567368189472,0.085185870635556,293786933.51436377,595052711.0766873
12,315607769.0987204,0.01637023263717548,0.08493683231322412,293990591.80775917,599082355.0480356
13,322663328.2448628,0.01771577678763899,0.08466641159757836,294177988.1912788,603103382.1848927
14,329637658.6236424,0.019056861086035763,0.0843746765655877,294349081.1603902,607112123.6829115
15,336529004.4846833,0.020393147921565453,0.08406170065998635,294503833.314858,611104978.1918726
16,343335630.9685182,0.02172430089116335,0.08372756267078481,294642211.3681597,615078412.6046926
17,350055824.54332983,0.023049984884188024,0.08337234671543498,294764186.1558652,619028962.6641868
18,356687893.4363238,0.024369866166783664,0.08299614221765401,294869732.64297867,622953233.4059014
19,363230168.059623,0.025683612465895775,0.08259904388491239,294958829.9302413,626847899.4541442
20,369681001.43057734,0.026990893052919133,0.08218115168459178,295031461.2593922,630709705.1871576
21,376038769.586383,0.028291378826956967,0.08174257081881882,295087614.01738745,634535464.7862204
22,382301871.9929067,0.029584742397670342,0.08128341169798108,295127279.7395753,638322062.1823481
23,388468731.9476111,0.03087065816769691,0.08080378991293173,295150454.11182714,642066450.9131732
24,394537796.9764813,0.03214880241461833,0.08030382620589027,295157136.9716234,645765653.9015622
25,400507539.2248523,0.03341885337245563,0.07978364644004628,295147332.3080947,649416763.1665365
26,406376455.8420376,0.03468049131267208,0.07924338156787401,295121048.2610173,653016939.4761369
27,412143069.35966444,0.035933398624663174,0.07868316759816583,295078297.1187644,656563411.950997
28,417805928.06361806,0.03717725989571334,0.07810314556179272,295019095.3152122,660053477.6265632
29,423363606.3595034,0.03841176199039946,0.07750346147620055,294943463.4256029,663484500.9811416
30,428814705.1315305,0.039636594129421,0.07688426630865088,294851426.161365,666853913.4362293
31,434157852.0947346,0.04085144796783705,0.07624571593821584,294743012.3638923,670159212.8349339
32,439391702.14044154,0.04205601767269054,0.0755879711165364,294618254.99728346,673397962.9036663
33,444514937.6748916,0.04325,0.07491119742735393,294477191.140043,676567792.7017374
34,449526268.9509368,0.04443309437109964,0.0742155652448255,294319861.9757476,679666396.062965
35,454424434.39272785,0.04560500294830846,0.07350124969063299,294146312.7826775,682691531.0329292
36,459208200.91330874,0.046765430709909184,0.07276843058989717,293956592.9224189,685641019.3050791
37,463876364.22504044,0.04791408552441853,0.07201729242590771,293750755.8274368,688512745.6585053
38,468427749.14277333,0.04905067822412967,0.07124802429368053,293528858.9876238,691304657.3998283
39,472861209.8796941,0.050174922677908636,0.07046081985235403,293290963.9358276,694014763.8113391
40,477175630.3357712,0.051286535863226394,0.06965587727643657,293037136.23235995,696641135.6072283
41,481369924.37872726,0.052385237937408166,0.06883339920591697,292767445.4484926,699181904.3994845
42,485443036.1174669,0.05347075230808234,0.06799359269525111,292481965.1489429,701635262.1748044
43,489393940.1678922,0.05454280570281119,0.06713666916123696,292180772.8733543,703999460.7836475
44,493221641.91103673,0.05560112823788564,0.0662628443297916,291863950.11677647,706272811.4423798
45,496925177.74345624,0.05664545348626716,0.06537233818164334,291531582.3091487,708453684.2492906
46,500503615.3198104,0.05767551854465922,0.06446537489695277,291183758.7937939,710540507.715111
47,503956053.7875761,0.05869106409969193,0.06354218279887662,290820572.8049269,712531768.3085461
48,507281624.0138318,0.059691834493202686,0.06260299429608857,290442121.44418275,714426010.0172045
49,510479488.8040573,0.060677577786596784,0.061648045824271636,290048505.6561725,716221833.9242303
50,513548843.11289316,0.061648045824271636,0.060677577786596784,289639830.20307076,717917897.8008432
51,516488914.24680626,0.06260299429608857,0.059691834493202686,289216203.63824195,719512915.7149272
52,519298962.0586113,0.06354218279887662,0.05869106409969193,288777738.27891314,721005657.6557527
53,521978279.1337991,0.06446537489695277,0.05767551854465922,288324550.1778985,722394949.1748574
54,524526190.9686245,0.06537233818164334,0.05664545348626715,287856759.0943838,723679671.0430797
55,526942056.13990843,0.0662628443297916,0.05560112823788565,287374488.46377724,724858758.9237005
56,529225266.4665136,0.06713666916123696,0.05454280570281119,286877865.36663604,725931203.0616301
57,531375247.16245025,0.06799359269525111,0.053470752308082355,286367020.49667376,726896047.9885567
58,533391456.9815757,0.06883339920591697,0.05238523793740816,285842088.12785923,727752392.2439642
59,535273388.35385036,0.06965587727643656,0.0512865358632264,285303206.08061403,728499388.1119213
60,537020567.5131153,0.07046081985235403,0.050174922677908636,284750515.6871164,729136241.3735478
61,538632554.6163605,0.07124802429368053,0.04905067822412967,269664285.110097,712938643.1414458
62,540108943.8544533,0.07201729242590772,0.04791408552441853,269084415.88888425,713398163.6185777
63,541449363.5542984,0.07276843058989715,0.0467654307099092,268491183.02833337,713743623.0084419
64,542653476.2724047,0.07350124969063299,0.04560500294830845,267884741.5431492,713974439.0140622
65,543720978.8798344,0.0742155652448255,0.04443309437109965,267265249.7732374,714090081.2104158
66,544651602.6385151,0.07491119742735394,0.04324999999999999,266632869.34384292,714090070.8596188
67,545445113.2688923,0.0755879711165364,0.042056017672690536,265987765.1248618,713973980.7424852
68,546101311.0089082,0.07624571593821584,0.04085144796783705,265330105.18933612,713741435.0064039
69,546620030.6642909,0.07688426630865088,0.039636594129421,264660060.77114236,713392109.0295186
70,547001141.6501411,0.07750346147620055,0.03841176199039945,263977806.2218844,712925729.3012464
71,547244548.0238065,0.07810314556179274,0.03717725989571334,263283518.9670013,712342073.319218
72,547350188.5090337,0.07868316759816583,0.035933398624663174,262577379.4611013,711640969.5027769
73,547318036.5113959,0.07924338156787401,0.03468049131267209,261859571.14253357,710822297.1232293
74,547148100.1249864,0.07978364644004629,0.03341885337245562,261130280.38720837,709885986.251094
75,546840422.1303817,0.08030382620589027,0.03214880241461833,260389696.46167818,708832017.7206647
76,546395079.9838716,0.08080378991293172,0.030870658167696918,259638011.47549045,707660423.1122595
77,545812185.7979599,0.08128341169798106,0.029584742397670352,258875420.33282545,706371284.7525995
78,545091886.3131409,0.08174257081881882,0.028291378826956964,258102120.68343005,704964735.7338307
79,544234362.8609576,0.08218115168459178,0.026990893052919133,257318312.8728602,703440959.9517773
80,543239831.3183533,0.08259904388491239,0.02568361246589578,256524199.89204556,701800192.1640912
81,542108542.0533255,0.08299614221765401,0.02436986616678366,255719987.3261869,700042718.0690459
