,sigma,y,z,shearstress,V.Mises
0,225270854.13771,0.0,0.0865,306352069.75621235,576456181.9042962
1,233157223.8910022,0.0013724058717108857,0.08648911204379019,306730708.4427329,580183999.7430999
2,240984897.56004634,0.0027444662475828514,0.0864564509161455,307093808.9318602,583946524.3537799
3,248751904.56985682,0.0041158357187537084,0.08640202483933018,307441285.48649275,587739689.0562118
4,256456289.61795485,0.00548616905029283,0.08632584751481799,307773056.3027709,591559456.8954622
5,264096113.16660568,0.006855121268112201,0.08622793811984301,308089043.5306706,595401825.0061373
6,271669451.9310869,0.0082223477458118,0.08610832130257182,308389173.2936018,599262828.5874827
7,279174399.36386466,0.009587504291437452,0.08596702717589848,308673375.70700663,603138544.5080186
8,286609066.13455755,0.010950247234129311,0.08580409130986379,308941584.89595205,607025094.5591882
9,293971580.6055647,0.012310233510639163,0.08561955472270068,309193739.01171374,610918648.3778877
10,301260089.303241,0.013667120751694765,0.0854134638705081,309429780.2473464,614815426.0579023
11,308472757.38449883,0.015020567368189472,0.085185870635556,309649654.8522361,618711700.470197
12,315607769.0987204,0.01637023263717548,0.08493683231322412,309853313.14563143,622603799.3117657
13,322663328.2448628,0.01771577678763899,0.08466641159757836,310040709.52915114,626488106.9023342
14,329637658.6236424,0.019056861086035763,0.0843746765655877,310211802.4982625,630361065.7476714
15,336529004.4846833,0.020393147921565453,0.08406170065998635,310366554.6527303,634219177.8876374
16,343335630.9685182,0.02172430089116335,0.08372756267078481,310504932.70603204,638059006.0463711
17,350055824.54332983,0.023049984884188024,0.08337234671543498,310626907.4937375,641877174.6012467
18,356687893.4363238,0.024369866166783664,0.08299614221765401,310732453.980851,645670370.3864127
19,363230168.059623,0.025683612465895775,0.08259904388491239,310821551.26811355,649435343.3458728
20,369681001.43057734,0.026990893052919133,0.08218115168459178,310894182.59726447,653168907.0502194
21,376038769.586383,0.028291378826956967,0.08174257081881882,310950335.3552597,656867939.0902606
22,382301871.9929067,0.029584742397670342,0.08128341169798108,310990001.07744765,660529381.3599312
23,388468731.9476111,0.03087065816769691,0.08080378991293173,311013175.44969946,664150240.240039
24,394537796.9764813,0.03214880241461833,0.08030382620589027,311019858.30949575,667727586.6935794
25,400507539.2248523,0.03341885337245563,0.07978364644004628,311010053.645967,671258556.2825613
26,406376455.8420376,0.03468049131267208,0.07924338156787401,310983769.59888965,674740349.1155256
27,412143069.35966444,0.035933398624663174,0.07868316759816583,310941018.4566367,678170229.7342141
28,417805928.06361806,0.03717725989571334,0.07810314556179272,310881816.6530845,681545526.9471493
29,423363606.3595034,0.03841176199039946,0.07750346147620055,310806184.7634752,684863633.6172384
30,428814705.1315305,0.039636594129421,0.07688426630865088,310714147.49923724,688122006.4098915
31,434157852.0947346,0.04085144796783705,0.07624571593821584,310605733.7017646,691318165.507567
32,439391702.14044154,0.04205601767269054,0.0755879711165364,310480976.3351558,694449694.2961162
33,444514937.6748916,0.04325,0.07491119742735393,310339912.47791535,697514239.0277873
34,449526268.9509368,0.04443309437109964,0.0742155652448255,310182583.31361985,700509508.46529
35,454424434.39272785,0.04560500294830846,0.07350124969063299,310009034.1205498,703433273.5108706
36,459208200.91330874,0.046765430709909184,0.07276843058989717,309819314.2602912,706283366.8239604
37,463876364.22504044,0.04791408552441853,0.07201729242590771,309613477.1653091,709057682.430578
38,468427749.14277333,0.04905067822412967,0.07124802429368053,309391580.32549614,711754175.3273308
39,472861209.8796941,0.050174922677908636,0.07046081985235403,309153685.2736999,714370861.0825456
40,477175630.3357712,0.051286535863226394,0.06965587727643657,308899857.5702323,716905815.4367769
41,481369924.37872726,0.052385237937408166,0.06883339920591697,308630166.7863649,719357173.9046743
42,485443036.1174669,0.05347075230808234,0.06799359269525111,308344686.4868152,721723131.3799645
43,489393940.1678922,0.05454280570281119,0.06713666916123696,308043494.21122664,724001941.7450761
44,493221641.91103673,0.05560112823788564,0.0662628443297916,307726671.4546488,726191917.4867557
45,496925177.74345624,0.05664545348626716,0.06537233818164334,307394303.647021,728291429.3188382
46,500503615.3198104,0.05767551854465922,0.06446537489695277,307046480.1316662,730298905.8131868
47,503956053.7875761,0.05869106409969193,0.06354218279887662,306683294.1427992,732212833.0396718
48,507281624.0138318,0.059691834493202686,0.06260299429608857,306304842.7820551,734031754.2159393
49,510479488.8040573,0.060677577786596784,0.061648045824271636,305911226.99404484,735754269.3676046
50,513548843.11289316,0.061648045824271636,0.060677577786596784,305502551.5409431,737379034.9994165
51,516488914.24680626,0.06260299429608857,0.059691834493202686,305078924.9761143,738904763.7778426
52,519298962.0586113,0.06354218279887662,0.05869106409969193,304640459.61678547,740330224.2254667
53,521978279.1337991,0.06446537489695277,0.05767551854465922,304187271.51577085,741654240.4275123
54,524526190.9686245,0.06537233818164334,0.05664545348626715,303719480.43225604,742875691.7507616
55,526942056.13990843,0.0662628443297916,0.05560112823788565,303237209.8016496,743993512.5750918
56,529225266.4665136,0.06713666916123696,0.05454280570281119,302740586.70450836,745006692.0378113
57,531375247.16245025,0.06799359269525111,0.053470752308082355,302229741.834546,745914273.7909526
58,533391456.9815757,0.06883339920591697,0.05238523793740816,301704809.46573156,746715355.7716544
59,535273388.35385036,0.06965587727643656,0.0512865358632264,301165927.41848636,747409089.9857473
60,537020567.5131153,0.07046081985235403,0.050174922677908636,300613237.0249887,747994682.3046502
61,538632554.6163605,0.07124802429368053,0.04905067822412967,285527006.4479693,731233234.4238484
62,540108943.8544533,0.07201729242590772,0.04791408552441853,284947137.2267566,731643550.0110317
63,541449363.5542984,0.07276843058989715,0.0467654307099092,284353904.36620563,731941829.7093495
64,542653476.2724047,0.07350124969063299,0.04560500294830845,283747462.8810215,732127491.2095401
65,543720978.8798344,0.0742155652448255,0.04443309437109965,283127971.11110973,732200004.7463299
66,544651602.6385151,0.07491119742735394,0.04324999999999999,282495590.68171525,732158892.9464264
67,545445113.2688923,0.0755879711165364,0.042056017672690536,281850486.4627341,732003730.691828
68,546101311.0089082,0.07624571593821584,0.04085144796783705,281192826.52720845,731734144.9985305
69,546620030.6642909,0.07688426630865088,0.039636594129421,280522782.1090147,731349814.9107413
70,547001141.6501411,0.07750346147620055,0.03841176199039945,279840527.5597567,730850471.4107575
71,547244548.0238065,0.07810314556179274,0.03717725989571334,279146240.3048736,730235897.3446997
72,547350188.5090337,0.07868316759816583,0.035933398624663174,278440100.7989736,729505927.3643378
73,547318036.5113959,0.07924338156787401,0.03468049131267209,277722292.48040587,728660447.8853
74,547148100.1249864,0.07978364644004629,0.03341885337245562,276993001.72508067,727699397.0619969
75,546840422.1303817,0.08030382620589027,0.03214880241461833,276252417.7995505,726622764.7796525
76,546395079.9838716,0.08080378991293172,0.030870658167696918,275500732.8133628,725430592.6638889
77,545812185.7979599,0.08128341169798106,0.029584742397670352,274738141.67069775,724122974.1083705
78,545091886.3131409,0.08174257081881882,0.028291378826956964,273964842.02130234,722700054.3210783
79,544234362.8609576,0.08218115168459178,0.026990893052919133,273181034.2107325,721162030.3898485
80,543239831.3183533,0.08259904388491239,0.02568361246589578,272386921.2299179,719509151.3678846
81,542108542.0533255,0.08299614221765401,0.02436986616678366,271582708.6640592,717741718.38002
82,540840779.8618969,0.08337234671543498,0.023049984884188024,270768604.6408742,715860084.7505907
83,539436863.8964194,0.08372756267078481,0.02172430089116335,269944819.77820176,713864656.153855
84,537897147.5852294,0.08406170065998635,0.02039314792156546,269111567.1309805,711755890.7879883
85,536222018.5436744,0.0843746765655877,0.019056861086035753,268269062.13761294,709534299.5737668
86,534411898.47653246,0.08466641159757836,0.01771577678763899,267417522.5657307,707200446.3791513
87,532467243.0718502,0.08493683231322412,0.01637023263717548,266557168.4573717,704754948.2710793
88,530388541.8862264,0.085185870635556,0.01502056736818948,265688222.07358676,702198475.7958877
89,528176318.221568,0.0854134638705081,0.013667120751694756,264810907.83848563,699531753.2898844
90,525831128.99335235,0.08561955472270068,0.012310233510639161,263925452.2827403,696755559.2217191
91,523353564.5904261,0.08580409130986379,0.010950247234129313,263032083.98655647,693870726.5683125
92,520744248.72637826,0.08596702717589848,0.00958750429143746,262131033.52212995,690878143.2262423
93,518003838.2825237,0.08610832130257182,0.008222347745811794,261222533.3956013,687778752.4606115
94,515133023.1425366,0.08622793811984301,0.0068551212681122,260306817.9885238,684573553.3935711
95,512132526.0187759,0.08632584751481799,0.005486169050292834,259384123.4988589,681263601.5348141
96,509003102.27034676,0.08640202483933018,0.004115835718753698,258454687.88151473,677850009.3565173
97,505745539.7129424,0.0864564509161455,0.0027444662475828467,257518750.78844255,674333946.9153658
98,502360658.42051625,0.08648911204379019,0.001372405871710886,256576553.50830495,670716642.524468
99,498849310.5188319,0.0865,5.2965974063123024e-18,255628338.90573347,666999383.4781466
100,0.0,0.0,0.0,140620997.49790144,243562712.27738127
101,5038881.924432646,0.0008737373737373737,0.0,140632209.18091828,243634244.531357
